question,choices,answer,explanation,category,options
Which type of Ethernet frame is used to communicate with all devices on a network segment?,,Broadcast,"A broadcast Ethernet frame is sent to all devices within a network segment. The destination MAC address is set to FF:FF:FF:FF:FF:FF, which all devices recognize.",datalink-layer,"['Unicast', 'Multicast', 'Broadcast', 'Point-to-point']"
What is the purpose of the Frame Check Sequence (FCS) field in an Ethernet frame?,,To provide error detection for the transmitted data,The FCS field in an Ethernet frame contains a cyclic redundancy check (CRC) value that is used to verify the integrity of the transmitted data and detect errors.,datalink-layer,"[""To indicate the destination device's MAC address"", 'To provide error detection for the transmitted data', 'To identify the type of data being transmitted', 'To store the payload data']"
Which type of Ethernet frame is used when sending data from one device to another on a local area network (LAN)?,,Unicast,"A unicast Ethernet frame is used to send data from one device to a specific device on the network, identified by its unique MAC address.",datalink-layer,"['Unicast', 'Multicast', 'Broadcast', 'Anycast']"
Which device is primarily responsible for controlling access to the shared medium in an Ethernet network using the CSMA/CD protocol?,,NIC,"The network interface card (NIC) on a device is responsible for implementing the CSMA/CD protocol, which controls access to the shared Ethernet medium to prevent collisions.",datalink-layer,"['Router', 'Hub', 'Switch', 'NIC']"
Which of the following is a primary responsibility of the Data Link Layer in relation to the Physical Layer?,,Framing and error detection,The Data Link Layer is responsible for framing data into manageable chunks and performing error detection to ensure that data is transmitted accurately over the physical medium.,datalink-layer,"['Providing logical addressing', 'Routing packets between networks', 'Establishing, maintaining, and terminating sessions', 'Framing and error detection']"
Which Data Link Layer protocol is used to obtain the MAC address of a device from an IP address on an Ethernet network?,,ARP,"The Address Resolution Protocol (ARP) is used to map an IP address to its corresponding MAC address, allowing devices to communicate with each other on a local network.",datalink-layer,"['ARP', 'IP', 'RARP', 'PPP']"
"In a network with multiple devices, which of the following will prevent data collisions from occurring?",,Switching,"Switching prevents data collisions by segmenting the network into smaller collision domains, ensuring that devices connected to different switch ports do not interfere with each other.",datalink-layer,"['Switching', 'Ethernet', 'Hubbing', 'Routing']"
What is the function of the MAC address in a network switch?,,It uniquely identifies each device on the local network.,The MAC address is a unique identifier assigned to each network interface card (NIC) on a device. It is used by switches to forward frames to the correct destination device on the local network.,datalink-layer,"['It is used to route packets to remote networks.', ""It identifies the device's operating system."", 'It uniquely identifies each device on the local network.', 'It performs error correction for corrupted frames.']"
"In a network using the IEEE 802.11 standard, what is the role of the MAC (Media Access Control) layer?",,It controls access to the wireless medium and handles framing.,"In the IEEE 802.11 standard, the MAC layer is responsible for controlling access to the wireless medium and framing data for transmission, ensuring efficient communication between devices.",datalink-layer,"['It handles routing of packets to remote networks.', 'It defines the physical medium used for data transmission.', 'It provides error checking for the transmitted data.', 'It controls access to the wireless medium and handles framing.']"
Which type of addressing does the Data Link Layer use for communication between devices on the same local network?,,MAC address,"The Data Link Layer uses MAC addresses to communicate between devices on the same local network, as these addresses are unique to each device's network interface.",datalink-layer,"['IP address', 'MAC address', 'Subnet mask', 'Port number']"
What is the purpose of a VLAN tag in Ethernet frames?,,To distinguish between frames from different virtual networks,"A VLAN tag is added to Ethernet frames to indicate which virtual LAN (VLAN) the frame belongs to, allowing for traffic segmentation on a single physical network.",datalink-layer,"['To ensure that frames are forwarded to the correct device', 'To distinguish between frames from different virtual networks', 'To provide error detection for transmitted data', 'To manage bandwidth on the network']"
Which of the following is an example of a protocol operating at the Application Layer?,,HTTP,"HTTP (Hypertext Transfer Protocol) operates at the Application Layer of the OSI model, providing the foundation for web browsing.",,"['TCP', 'IP', 'HTTP', 'Ethernet']"
Which Application Layer protocol is used to send email from a client to a mail server?,,SMTP,SMTP (Simple Mail Transfer Protocol) is used to send emails from a client to a mail server.,,"['SMTP', 'FTP', 'SNMP', 'POP3']"
Which of the following protocols is used to retrieve emails from a mail server?,,POP3,POP3 (Post Office Protocol version 3) is used by email clients to retrieve emails from a mail server.,,"['IMAP', 'POP3', 'SMTP', 'FTP']"
Which protocol provides a secure version of HTTP?,,HTTPS,"HTTPS (Hypertext Transfer Protocol Secure) is a secure version of HTTP, using SSL/TLS for encryption.",,"['FTP', 'SMTP', 'HTTPS', 'DNS']"
Which Application Layer protocol is primarily used for remote administration of network devices?,,SSH,SSH (Secure Shell) is a protocol that provides a secure method for remote administration of network devices.,,"['SSH', 'Telnet', 'FTP', 'SNMP']"
Which Application Layer protocol is used for network management and monitoring?,,SNMP,SNMP (Simple Network Management Protocol) is used for managing and monitoring network devices.,,"['SNMP', 'SMTP', 'HTTP', 'DNS']"
Which of the following is the purpose of DNS?,,To map domain names to IP addresses,DNS (Domain Name System) translates human-readable domain names into IP addresses for network routing.,,"['To provide email services', 'To map domain names to IP addresses', 'To transfer files between devices', 'To secure network traffic']"
What is the purpose of the DHCP protocol?,,To allocate IP addresses dynamically,DHCP (Dynamic Host Configuration Protocol) dynamically assigns IP addresses to devices on a network.,,"['To allocate IP addresses dynamically', 'To monitor network devices', 'To retrieve email from a server', 'To transfer files']"
Which protocol is used for secure file transfer over a network?,,SFTP,SFTP (Secure File Transfer Protocol) is a secure version of FTP that uses SSH for encryption.,,"['FTP', 'SFTP', 'HTTP', 'POP3']"
Which protocol does a web browser use to retrieve data from a web server?,,HTTP,HTTP (Hypertext Transfer Protocol) is the protocol used by web browsers to retrieve data from web servers.,,"['HTTP', 'FTP', 'SNMP', 'SMTP']"
Which protocol is responsible for translating domain names to IP addresses?,,DNS,DNS (Domain Name System) resolves domain names to IP addresses to allow devices to communicate over the network.,,"['DHCP', 'FTP', 'DNS', 'ARP']"
Which of the following protocols operates at the Application Layer and allows devices to share files over a network?,,FTP,FTP (File Transfer Protocol) operates at the Application Layer and is used for transferring files between devices on a network.,,"['FTP', 'ICMP', 'IP', 'Ethernet']"
Which protocol is used to query DNS servers and resolve domain names?,,DNS,DNS (Domain Name System) resolves domain names to IP addresses and is queried by various devices on a network.,,"['HTTP', 'DNS', 'ARP', 'SNMP']"
Which protocol is used to determine the physical MAC address of a device from its IP address?,,ARP,ARP (Address Resolution Protocol) maps an IP address to a device's physical MAC address within a local network.,,"['ARP', 'DNS', 'DHCP', 'SNMP']"
Which Application Layer protocol is used to monitor the status of network devices?,,SNMP,SNMP (Simple Network Management Protocol) allows for the monitoring and management of network devices' health and status.,,"['SNMP', 'FTP', 'SSH', 'SMTP']"
Which protocol allows clients to access files and directories on remote systems?,,FTP,"FTP (File Transfer Protocol) allows clients to upload, download, and manage files on remote servers.",,"['FTP', 'SMTP', 'HTTP', 'POP3']"
Which of the following is a primary role of the Application Layer in the OSI model?,,Providing end-user services,"The Application Layer is responsible for providing end-user services like web browsing, email, and file transfer.",,"['Establishing a physical connection', 'Routing packets between networks', 'Providing end-user services', 'Ensuring reliable data transmission']"
What is the main function of HTTP in the Application Layer?,,Displaying web pages,HTTP (Hypertext Transfer Protocol) is used to transfer web pages and display them in browsers.,,"['Managing email servers', 'Transferring files between clients and servers', 'Displaying web pages', 'Translating domain names to IP addresses']"
Which of the following protocols is used to assign IP addresses automatically to devices on a network?,,DHCP,DHCP (Dynamic Host Configuration Protocol) automatically assigns IP addresses to devices on a network.,,"['DNS', 'DHCP', 'SNMP', 'FTP']"
Which of the following protocols is commonly used for encrypted remote access to a network device?,,SSH,"SSH (Secure Shell) is used for secure, encrypted remote access to network devices, replacing Telnet.",,"['FTP', 'HTTP', 'SSH', 'SMTP']"
Which Application Layer protocol does a web browser use to securely access websites?,,HTTPS,HTTPS (Hypertext Transfer Protocol Secure) is used by web browsers to securely access websites through encryption.,,"['FTP', 'IMAP', 'HTTPS', 'POP3']"
Which of the following is used to store and retrieve email on a mail server?,,POP3,POP3 (Post Office Protocol version 3) is used by email clients to retrieve email from a mail server.,,"['SMTP', 'POP3', 'HTTP', 'FTP']"
Which protocol is used to synchronize the time on a computer with a time server?,,SNTP,SNTP (Simple Network Time Protocol) is used to synchronize time between a device and a time server.,,"['SNTP', 'SMTP', 'HTTP', 'FTP']"
Which protocol allows web servers and web browsers to communicate with each other?,,HTTP,HTTP (Hypertext Transfer Protocol) is the protocol that allows communication between web servers and web browsers.,,"['HTTP', 'FTP', 'SMTP', 'IMAP']"
What does the FTP protocol primarily do?,,Transfers files between client and server,FTP (File Transfer Protocol) is used to transfer files between a client and server over a network.,,"['Transfers files between client and server', 'Sends and receives email', 'Secures network communication', 'Maps domain names to IP addresses']"
Which protocol is primarily used to enable file transfers over the web?,,HTTP,"HTTP (Hypertext Transfer Protocol) is used for transferring files, especially web pages, over the internet.",,"['HTTP', 'FTP', 'SMTP', 'Telnet']"
Which protocol is used to query and retrieve information about network devices?,,SNMP,SNMP (Simple Network Management Protocol) is used to gather information and perform management tasks on network devices.,,"['SNMP', 'SMTP', 'SSH', 'FTP']"
You are a network administrator for a company that needs to ensure all email communications are secure. Which protocol should you configure on the mail servers to secure outgoing emails?,,SMTPS,"SMTPS (Secure SMTP) is the secure version of SMTP, encrypting outgoing email traffic to ensure privacy.",,"['SMTP', 'IMAP', 'HTTPS', 'SMTPS']"
"A user is unable to access a website using its domain name, but they can access it using the IP address. Which application layer service is most likely causing the issue?",,DNS,"DNS (Domain Name System) is responsible for translating domain names into IP addresses. If DNS is not functioning correctly, domain names cannot be resolved.",,"['DHCP', 'DNS', 'FTP', 'HTTP']"
Your company has a critical file transfer that needs to be completed securely. Which protocol should you use to ensure the transfer is both encrypted and authenticated?,,SFTP,SFTP (Secure File Transfer Protocol) ensures secure file transfers with encryption and authentication.,,"['FTP', 'HTTP', 'SFTP', 'SMTP']"
"A user reports that they cannot access their email on their mobile device, but they can access it on a desktop computer. You determine the user’s mobile device is configured for POP3. What should you do next?",,Switch to IMAP for email synchronization across devices.,"IMAP (Internet Message Access Protocol) allows email synchronization across multiple devices, unlike POP3, which only downloads emails to a single device.",,"['Switch to IMAP for email synchronization across devices.', 'Disable POP3 on the desktop computer.', 'Set up a VPN connection.', 'Change the SMTP server address.']"
Your company wants to ensure that all employees’ web traffic is encrypted. Which protocol should you implement to ensure secure communication between web browsers and web servers?,,HTTPS,HTTPS (Hypertext Transfer Protocol Secure) encrypts web traffic to ensure secure communication between web browsers and web servers.,,"['HTTP', 'SMTP', 'HTTPS', 'IMAP']"
You need to configure a mail server that will allow employees to send and receive emails securely. Which protocols should be configured on the server for sending and receiving email?,,SMTP and POP3,"SMTP (Simple Mail Transfer Protocol) is used for sending emails, while POP3 (Post Office Protocol version 3) is used for receiving emails.",,"['IMAP and SMTP', 'SMTP and POP3', 'IMAP and IMAPS', 'POP3 and SMTP']"
A network administrator is configuring a web application and wants to allow users to securely upload and download files. Which protocol should be used to provide secure file transfers?,,SFTP,SFTP (Secure File Transfer Protocol) uses encryption to provide a secure method for file transfers.,,"['FTP', 'SFTP', 'HTTP', 'POP3']"
"A user is unable to log in to their company’s intranet site. The issue is traced back to the client device not being able to reach the server. After troubleshooting, you determine that the DNS resolution is failing. What should you check next?",,Ensure the DNS server is reachable.,"If DNS resolution is failing, the first step is to ensure the DNS server is reachable and functioning correctly.",,"['Check the device’s firewall settings.', ""Verify the web server's IP address."", 'Ensure the DNS server is reachable.', ""Verify the email server's configuration.""]"
You are setting up a secure remote access solution for your company's network. Which protocol should you implement to provide encrypted communication for users connecting to the network from remote locations?,,VPN,A VPN (Virtual Private Network) encrypts communication between remote users and the company’s network to ensure security.,,"['RDP', 'VPN', 'SSH', 'FTP']"
A client needs to communicate with a server to retrieve an email. Which application layer protocol will be used for this task?,,POP3,POP3 (Post Office Protocol version 3) is used by email clients to retrieve emails from the mail server.,,"['SMTP', 'POP3', 'IMAP', 'DNS']"
You are troubleshooting a network issue where users cannot access their company’s website. You verify that the web server is up and running. The issue seems to be with the DNS resolution. What action should you take first?,,Verify the DNS server's configuration.,"Since the issue is related to DNS resolution, checking the DNS server’s configuration is the first step to resolve the problem.",,"[""Check the web server's configuration."", ""Verify the DNS server's configuration."", 'Restart the router.', 'Clear the browser cache.']"
Your company has multiple remote workers who need secure access to the internal company resources. Which protocol should you use to ensure that all traffic is encrypted and secure?,,VPN,"A VPN (Virtual Private Network) ensures secure, encrypted communication between remote workers and company resources.",,"['HTTP', 'HTTPS', 'VPN', 'IMAP']"
Your company is moving to a cloud-based email service. The new service uses IMAP for email retrieval and SMTP for sending emails. What configuration change will be necessary on all client devices?,,Change from POP3 to IMAP for email retrieval.,"IMAP (Internet Message Access Protocol) should be used for email retrieval when migrating to cloud-based email, as it allows for synchronization across multiple devices.",,"['Change from POP3 to IMAP for email retrieval.', 'Change from HTTP to HTTPS for secure connections.', 'Set up DNS for mail server resolution.', 'Update from SMTP to SMTPS for secure email sending.']"
A network administrator is setting up a new mail server to send emails securely. Which protocol should they configure to encrypt outgoing email traffic?,,SMTPS,SMTPS (Secure SMTP) encrypts the email traffic during transmission to protect sensitive information.,,"['SMTP', 'IMAP', 'SMTPS', 'POP3']"
"You are troubleshooting a file transfer issue. The user reports that they cannot download files from an FTP server, but other FTP functions are working correctly. What is the most likely cause of the issue?",,The FTP client is not configured to use active mode.,"In FTP (File Transfer Protocol), switching between active and passive modes can resolve issues related to file downloads.",,"['The FTP server is down.', 'The FTP client is not configured to use active mode.', 'The DNS resolution is failing.', ""The user's email account is not configured.""]"
"A company is using HTTPS to secure web traffic. However, users are still receiving warnings about insecure connections. What is the most likely reason for these warnings?",,The SSL/TLS certificate has expired.,HTTPS relies on SSL/TLS certificates for encryption. An expired certificate will trigger warnings in the browser regarding an insecure connection.,,"['The SSL/TLS certificate has expired.', 'The DNS server is misconfigured.', 'The router is blocking HTTPS traffic.', 'The firewall is blocking port 443.']"
"A user wants to download a large file from a server, but the download is slow. What protocol could be implemented on the server to increase the download speed by using multiple connections for the transfer?",,FTP,FTP (File Transfer Protocol) allows for multiple connections to speed up large file transfers.,,"['HTTP', 'HTTPS', 'FTP', 'SFTP']"
"A user is attempting to send an email with a large attachment, but the message fails to send. Which of the following protocols can help to resolve this issue?",,SMTP,"SMTP (Simple Mail Transfer Protocol) is the standard protocol for sending emails. If the email fails due to large attachment size, the server’s SMTP configuration may need to be adjusted.",,"['POP3', 'SMTP', 'IMAP', 'SMTP with TLS']"
You have configured an application to allow users to access files stored on a remote server. Which protocol should you use to ensure secure file access?,,SFTP,"SFTP (Secure File Transfer Protocol) is used to securely access files over a network, providing encryption and authentication.",,"['FTP', 'SFTP', 'SMTP', 'HTTP']"
You are setting up a new web application. Users need to securely submit their login credentials to the server. Which protocol should you configure to protect the user data?,,HTTPS,HTTPS (Hypertext Transfer Protocol Secure) ensures that user credentials are encrypted when submitted through the web application.,,"['HTTP', 'SMTP', 'HTTPS', 'FTP']"
A company wants to restrict access to its internal network based on user authentication. Which protocol would you configure to provide secure access over the network?,,SSH,"SSH (Secure Shell) provides secure, encrypted access to a remote network or system, often used for administrative purposes.",,"['SSH', 'FTP', 'HTTP', 'IMAP']"
Which of the following is the primary function of the physical layer in the OSI model?,,A,"The physical layer is responsible for transmitting raw bits over a physical medium, including cables and radio waves.",,"['A. Transmitting data across the network', 'B. Routing data between devices', 'C. Encrypting data', 'D. Establishing logical connections']"
Which of the following is NOT a type of copper cabling used in networking?,,C,"Fiber optic cables use light to transmit data, not copper. Copper cabling includes Cat 5e, Cat 6, and Cat 7.",,"['A. Cat 5e', 'B. Cat 6', 'C. Fiber optic', 'D. Cat 7']"
What is the maximum data transfer speed of a Cat 5e cable?,,C,Cat 5e cables can support up to 1 Gbps speeds over short distances.,,"['A. 10 Mbps', 'B. 100 Mbps', 'C. 1 Gbps', 'D. 10 Gbps']"
What is the typical maximum distance for a Cat 6 cable without degradation in speed?,,C,Cat 6 cables typically support data transmission up to 100 meters at 1 Gbps speeds.,,"['A. 10 meters', 'B. 50 meters', 'C. 100 meters', 'D. 150 meters']"
Which type of fiber optic cable is designed for long-distance data transmission?,,B,"Single-mode fiber is designed for long-distance transmission, while multimode fiber is used for shorter distances.",,"['A. Multimode fiber', 'B. Single-mode fiber', 'C. Shielded twisted pair', 'D. Unshielded twisted pair']"
Which of the following devices operates at the physical layer of the OSI model?,,B,A hub is a physical layer device that transmits data as raw bits over a network.,,"['A. Switch', 'B. Hub', 'C. Router', 'D. Bridge']"
What is the primary purpose of a network interface card (NIC)?,,C,"A NIC provides the physical connection between a computer and a network, transmitting and receiving data.",,"['A. To route data packets between networks', 'B. To manage data flow within a network', 'C. To provide a physical connection to the network', 'D. To encrypt data for secure transmission']"
Which type of cable is most commonly used for Ethernet networking?,,C,"Twisted pair cables, such as Cat 5e and Cat 6, are the most commonly used for Ethernet networking.",,"['A. Coaxial cable', 'B. Fiber optic cable', 'C. Twisted pair cable', 'D. HDMI cable']"
Which of the following is an advantage of fiber optic cables over copper cables?,,B,Fiber optic cables offer higher data transfer speeds and greater bandwidth compared to copper cables.,,"['A. Lower cost', 'B. Higher data transfer speeds', 'C. Easier to install', 'D. Shorter transmission distances']"
Which of the following connectors is commonly used with fiber optic cables?,,B,LC connectors are commonly used with fiber optic cables.,,"['A. RJ45', 'B. LC', 'C. RJ11', 'D. BNC']"
What is the maximum data transfer rate of a 1000BASE-T network using Cat 5e cabling?,,B,1000BASE-T supports data transfer rates of 1 Gbps using Cat 5e or higher cables.,,"['A. 100 Mbps', 'B. 1 Gbps', 'C. 10 Gbps', 'D. 100 Gbps']"
What is the primary function of a repeater in a network?,,A,A repeater amplifies and retransmits weak signals to extend the range of a network.,,"['A. Amplifies weak signals', 'B. Routes data between networks', 'C. Encrypts transmitted data', 'D. Acts as a firewall']"
"What type of cable is commonly used for short-distance, high-speed connections between network devices?",,A,Fiber optic cables are ideal for high-speed connections over short distances between devices.,,"['A. Fiber optic', 'B. Coaxial', 'C. Twisted pair', 'D. USB']"
Which of the following is an example of an OSI Layer 1 device?,,D,A hub is a physical layer device that broadcasts data to all connected devices.,,"['A. Bridge', 'B. Router', 'C. Switch', 'D. Hub']"
Which of the following standards is used for Gigabit Ethernet over copper cabling?,,A,1000BASE-T is the standard for Gigabit Ethernet over copper twisted pair cabling.,,"['A. 1000BASE-T', 'B. 10GBASE-T', 'C. 100BASE-TX', 'D. 10BASE-T']"
Which of the following is the maximum cable length for 100BASE-TX Ethernet over Cat 5 cabling?,,C,100BASE-TX Ethernet over Cat 5 cabling has a maximum cable length of 100 meters.,,"['A. 10 meters', 'B. 50 meters', 'C. 100 meters', 'D. 200 meters']"
Which of the following is true about the physical layer of the OSI model?,,D,"The physical layer defines the electrical signals, transmission mediums, and physical components of the network.",,"['A. It is responsible for error detection', 'B. It determines the network topology', 'C. It handles data compression', 'D. It defines electrical signals and transmission mediums']"
Which of the following is an example of a wireless transmission medium used at the physical layer?,,B,"Radio waves are used for wireless communication, which is part of the physical layer.",,"['A. Fiber optic', 'B. Radio waves', 'C. Coaxial cable', 'D. Twisted pair cable']"
Which of the following standards is used for 10-Gigabit Ethernet over twisted pair copper cabling?,,B,10GBASE-T is the standard for 10-Gigabit Ethernet over twisted pair copper cabling.,,"['A. 1000BASE-T', 'B. 10GBASE-T', 'C. 100BASE-TX', 'D. 10BASE-T']"
Which of the following fiber optic types has a smaller core size and is used for longer-distance communication?,,B,Single-mode fiber has a smaller core size and is used for long-distance communication.,,"['A. Multimode fiber', 'B. Single-mode fiber', 'C. Coaxial cable', 'D. Shielded twisted pair']"
Which type of cable is used for high-speed backbone connections in a building?,,C,Fiber optic cables are used for high-speed backbone connections due to their large bandwidth.,,"['A. Cat 5e', 'B. Cat 6', 'C. Fiber optic', 'D. Coaxial']"
What is the maximum transmission speed for 10BASE-T Ethernet over twisted pair cables?,,A,10BASE-T supports a maximum transmission speed of 10 Mbps over twisted pair cables.,,"['A. 10 Mbps', 'B. 100 Mbps', 'C. 1 Gbps', 'D. 10 Gbps']"
What is the primary function of the Physical Layer in the OSI model?,,C,The Physical Layer is responsible for the transmission and reception of raw bit streams over a physical medium. It deals with the physical connection between devices and the transmission of unstructured data.,physical-layer,"['A. Data encryption', 'B. Error detection', 'C. Transmission of raw bit streams', 'D. Session management']"
Which of the following cables is most susceptible to electromagnetic interference (EMI)?,,C,"Unshielded twisted pair (UTP) cables are more susceptible to EMI because they lack the shielding that protects against electromagnetic interference, unlike shielded twisted pair (STP) or fiber optic cables.",physical-layer,"['A. Fiber optic cable', 'B. Coaxial cable', 'C. Unshielded twisted pair (UTP)', 'D. Shielded twisted pair (STP)']"
What is the maximum transmission distance for a single segment of 10Base-T Ethernet?,,A,"The maximum transmission distance for a single segment of 10Base-T Ethernet is 100 meters. Beyond this distance, signal degradation occurs, requiring the use of repeaters or other network devices.",physical-layer,"['A. 100 meters', 'B. 185 meters', 'C. 500 meters', 'D. 2000 meters']"
Which connector type is commonly used with fiber optic cables?,,C,"LC connectors are commonly used with fiber optic cables due to their small form factor and high performance. RJ-45 is used for Ethernet cables, BNC for coaxial cables, and F-type for cable TV connections.",physical-layer,"['A. RJ-45', 'B. BNC', 'C. LC', 'D. F-type']"
What is the purpose of a punch-down tool in network installations?,,B,A punch-down tool is used to terminate wires on a patch panel or keystone jack by inserting the wires into the appropriate slots and securing them in place.,physical-layer,"['A. To test network connectivity', 'B. To terminate wires on a patch panel', 'C. To measure cable length', 'D. To crimp RJ-45 connectors']"
Which of the following is a characteristic of single-mode fiber optic cable?,,D,Single-mode fiber optic cable has a smaller core diameter and supports higher bandwidth over longer distances compared to multimode fiber. It uses laser light sources and is ideal for long-distance communication.,physical-layer,"['A. It has a larger core diameter than multimode fiber.', 'B. It is typically used for short-distance communication.', 'C. It uses LED as a light source.', 'D. It supports higher bandwidth over longer distances.']"
What is the purpose of a loopback plug in network troubleshooting?,,A,"A loopback plug is used to test the functionality of a network port by sending transmitted data back to the receiving end, allowing for diagnostics without external connections.",physical-layer,"['A. To test the functionality of a network port', 'B. To measure signal strength', 'C. To terminate unused ports', 'D. To connect two network devices']"
Which of the following is a common cause of crosstalk in twisted pair cables?,,A,"Crosstalk in twisted pair cables is often caused by improper cable termination, which can lead to signal interference between adjacent wires.",physical-layer,"['A. Improper cable termination', 'B. Excessive cable length', 'C. Electromagnetic interference', 'D. Signal attenuation']"
What is the primary advantage of using fiber optic cables over copper cables?,,C,"Fiber optic cables offer higher bandwidth and support longer transmission distances compared to copper cables, making them ideal for high-speed and long-distance communication.",physical-layer,"['A. Lower cost', 'B. Easier installation', 'C. Higher bandwidth and longer distances', 'D. Compatibility with older devices']"
Which of the following is a characteristic of a straight-through cable?,,B,"A straight-through cable has the same pinout on both ends and is typically used to connect different types of devices, such as a computer to a switch.",physical-layer,"['A. It is used to connect two different types of devices.', 'B. It has the same pinout on both ends.', 'C. It is used to connect two similar devices.', 'D. It reverses the transmit and receive pairs.']"
What is the purpose of a tone generator in network troubleshooting?,,B,A tone generator is used in conjunction with a probe to locate specific cables within a bundle by sending an audible tone through the cable.,physical-layer,"['A. To measure signal strength', 'B. To locate cables within a bundle', 'C. To test network connectivity', 'D. To terminate cables']"
Which of the following is a common use for coaxial cable?,,B,Coaxial cable is commonly used for cable television (CATV) and broadband internet connections due to its ability to carry high-frequency signals with low loss.,physical-layer,"['A. Ethernet networks', 'B. Cable television', 'C. Fiber optic networks', 'D. Wireless networks']"
What is the purpose of a cable tester in network installations?,,B,"A cable tester is used to verify proper cable termination and connectivity by checking for continuity, shorts, and correct pinouts.",physical-layer,"['A. To measure cable length', 'B. To verify proper cable termination and connectivity', 'C. To locate cables within a bundle', 'D. To terminate cables']"
Which of the following is a characteristic of multimode fiber optic cable?,,C,Multimode fiber optic cable has a larger core diameter and uses LED as a light source. It is typically used for shorter-distance communication due to higher signal dispersion.,physical-layer,"['A. It has a smaller core diameter than single-mode fiber.', 'B. It is typically used for long-distance communication.', 'C. It uses LED as a light source.', 'D. It supports lower bandwidth over shorter distances.']"
What is the purpose of a crimping tool in network installations?,,C,"A crimping tool is used to attach connectors, such as RJ-45, to the ends of network cables by crimping the connector onto the cable.",physical-layer,"['A. To test network connectivity', 'B. To terminate wires on a patch panel', 'C. To attach connectors to cables', 'D. To measure cable length']"
Which of the following is a common cause of signal attenuation in network cables?,,B,"Signal attenuation is often caused by excessive cable length, as the signal weakens over distance. This can be mitigated by using repeaters or signal boosters.",physical-layer,"['A. Improper cable termination', 'B. Excessive cable length', 'C. Electromagnetic interference', 'D. Crosstalk']"
What is the purpose of a patch panel in network installations?,,B,"A patch panel is used to organize and terminate cable runs, providing a central point for connecting network devices and simplifying cable management.",physical-layer,"['A. To test network connectivity', 'B. To organize and terminate cable runs', 'C. To measure signal strength', 'D. To connect two network devices']"
Which of the following is a characteristic of a crossover cable?,,D,"A crossover cable reverses the transmit and receive pairs, allowing two similar devices, such as two computers or two switches, to communicate directly.",physical-layer,"['A. It is used to connect two different types of devices.', 'B. It has the same pinout on both ends.', 'C. It is used to connect two similar devices.', 'D. It reverses the transmit and receive pairs.']"
What is the purpose of a network tap in network monitoring?,,B,A network tap is used to capture and analyze network traffic by creating a copy of the data passing through the network for monitoring purposes.,physical-layer,"['A. To test network connectivity', 'B. To capture and analyze network traffic', 'C. To terminate unused ports', 'D. To connect two network devices']"
Which of the following is a common use for plenum-rated cables?,,B,"Plenum-rated cables are designed for use in air handling spaces, such as drop ceilings and raised floors, because they are made of fire-resistant materials that produce less toxic smoke in case of fire.",physical-layer,"['A. Outdoor installations', 'B. Air handling spaces', 'C. Underground installations', 'D. Underwater installations']"
What is the purpose of a media converter in network installations?,,B,"A media converter is used to convert between different types of media, such as fiber optic and copper, allowing devices with different interfaces to communicate.",physical-layer,"['A. To test network connectivity', 'B. To convert between different types of media, such as fiber and copper', 'C. To terminate unused ports', 'D. To connect two network devices']"
Which of the following is a characteristic of shielded twisted pair (STP) cable?,,B,"Shielded twisted pair (STP) cable has a foil or braided shielding to reduce electromagnetic interference (EMI), making it suitable for environments with high EMI.",physical-layer,"['A. It is more susceptible to EMI than UTP.', 'B. It has a foil or braided shielding to reduce EMI.', 'C. It is typically used for short-distance communication.', 'D. It is less expensive than UTP.']"
What is the purpose of a time-domain reflectometer (TDR) in network troubleshooting?,,B,"A time-domain reflectometer (TDR) is used to measure cable length and locate faults, such as breaks or shorts, by sending a signal down the cable and analyzing the reflected signal.",physical-layer,"['A. To test network connectivity', 'B. To measure cable length and locate faults', 'C. To terminate unused ports', 'D. To connect two network devices']"
Which of the following is a common use for a rollover cable?,,B,A rollover cable is used to connect a computer to a router or switch's console port for configuration and management purposes.,physical-layer,"['A. To connect a computer to a switch', 'B. To connect a router to a console port', 'C. To connect two computers directly', 'D. To connect a switch to a patch panel']"
What is the purpose of a fiber optic cleaver in network installations?,,B,"A fiber optic cleaver is used to cut fiber optic cables cleanly and precisely, ensuring a proper connection when splicing or terminating the cable.",physical-layer,"['A. To test network connectivity', 'B. To cut fiber optic cables cleanly', 'C. To terminate unused ports', 'D. To connect two network devices']"
Which of the following is a characteristic of a T568A wiring standard?,,A,The T568A wiring standard is commonly used in residential installations and government networks. It differs from T568B in the arrangement of the wire pairs.,physical-layer,"['A. It is commonly used in residential installations.', 'B. It reverses the transmit and receive pairs.', 'C. It is identical to the T568B standard.', 'D. It is used for crossover cables.']"
What is the purpose of a fusion splicer in network installations?,,B,"A fusion splicer is used to join two fiber optic cables permanently by melting the ends together, creating a low-loss connection.",physical-layer,"['A. To test network connectivity', 'B. To join two fiber optic cables permanently', 'C. To terminate unused ports', 'D. To connect two network devices']"
Which of the following is a common use for a power over Ethernet (PoE) injector?,,B,"A PoE injector is used to provide power to PoE-enabled devices, such as IP cameras or VoIP phones, over an Ethernet cable.",physical-layer,"['A. To test network connectivity', 'B. To provide power to PoE-enabled devices', 'C. To terminate unused ports', 'D. To connect two network devices']"
What is the purpose of a cable certifier in network installations?,,B,"A cable certifier is used to verify cable performance against industry standards, ensuring that the cable meets the required specifications for speed and reliability.",physical-layer,"['A. To test network connectivity', 'B. To verify cable performance against industry standards', 'C. To terminate unused ports', 'D. To connect two network devices']"
